"","NRO","SEXO","EDAD","P1","P2A","P2B","P2C","P3","P4A","P4B","P4C","P5A","P5B","P5C","P5D","P5E","P5F","P5G","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15.1","P15.2","P16","P17.1","P17.2","P18","P19","P20","P21A","P21B","P21C","P21D","P21E","P21F","P22","P23","P24","P25","P26","P27A","P27B","P27C","P28","P29","P30","P31","P32A","P32B","P32C","P32D","P33.1","P33.2","P33.3","P34","P35A","P35B","P35C","P35D","P35E","P35F","P35G","P35H","P36A","P36B","P36C","P36D","P37.01","P37.02","P37.03","P37.04","P37.05","P37.06","P37.07","P37.08","P37.09","P37.10","P38.1","P38.2","P38.3","P39","P40","P41","P42","P43A","P43B","P43C","P43D","P43E","P43F","P43G","P44","P45A","P45B","P45C","P45D","P45E","P45F","P45G","P46A","P46B","P46C","P46D","P46E","P47","P48","P49","P50","P51","P52","P53","P54","P55","P56A","P56B","P56C","P56D","P56E","P56F","P56G","P56H","P56I","P57","P58","TFAM","NIVEDU","OCUPA","TRAB","JEFE","JNIVEDU","JOCUPA","BUSTRAB","JTRAB","SERVHI","BANOS","DOMES","CGAS","REFRI","LAVA","COMPRAS","INGRESO","GEDAD","TIPOVIVI","AVIVI","PISTAS","NIVEL","UBIGEO07","estrato","nse1","nsegrup","PESO","UBIGEO07","inseguridad07","inseguridad07100","rank_inseguridad07100","adaptk7.cluster"
"424",3,"Masculino",31,"Algo interesado","Aprueba","Desaprueba","Aprueba","Aprueba","Desaprueba","Desaprueba","Desaprueba","Alguna","Alguna","Mucha","Mucha","Poca","Poca","Mucha","Regular","Igual","Insatisfecho","La democracia es preferible a cualquier otra forma de gobier","Promover la economía privada de mercado es la única forma en","Algo mejor","Mejorará algo","Permanece igual","Permanece igual","Son trabajadores","No tienen interés en cambiar su realidad","Falta de oportunidades de trabajo","Programa de empleo juvenil","Programa de prevención del pandillaje y la violencia juvenil","Estudiar una carrera técnica","Regular","Bien","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Sí","Serán mejores que los adultos de hoy","Algo","Sí","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Violencia callejera","Venta de drogas",NA,"Robo en vivienda o local","Regular frecuencia","Ninguna frecuencia","Mucha frecuencia","Mucha frecuencia","Regular frecuencia","Poca frecuencia","Poca frecuencia","Mucha frecuencia","Sí","Sí","Sí","Sí","No llevar joyas u objetos valiosos a la vista",NA,NA,NA,NA,NA,NA,NA,NA,NA,"El consumo de drogas","La pobreza y las desigualdades sociales","El desempleo","No",NA,NA,"Ha aumentado mucho","Muy eficaz","Muy eficaz","Muy eficaz","Muy eficaz","Nada eficaz","Muy eficaz","Muy eficaz","El propio consumidor","Bueno","Bueno","Bueno","Muy malo","Muy malo","Muy malo","Bueno","Malo","Bueno","Malo","Malo","Malo","En la protección de funcionarios","Pueden ayudarme","No",NA,"No",NA,NA,"No",NA,"No se cumplirá","No se cumplirá","Se cumplirá","Se cumplirá","Se cumplirá","Se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","Los peruanos deben conocer más los logros y avances del Gobi","Fue un buen gesto y allanó el caminó para resolver el proble",10,"Secundaria completa","Asalariado sector público","Empleado poco especializado (vigilante, mensajero)","El propio entrevistado",NA,NA,"Sí",NA,"Water / inodoro",3,"Sí","Sí","Sí","Sí","Mejores","Entre 3001 y 5000","30 a 44","Casa independiente","Medio","Asfaltado en buen estado","Plano","150101            ","Lima Antigüa","C","C",0.739960960664607,"150101            ",-0.956155231442669,36.5807533476389,85,3
"425",270,"Femenino",19,"Algo interesado","Aprueba","Desaprueba","Desaprueba","Aprueba","Desaprueba","Aprueba","Desaprueba","Alguna","Poca","Mucha","Alguna","Poca","Poca","Alguna","Buena","Igual","Satisfecho","A veces un gobierno autoritario o una dictadura puede ser pr","Promover una mayor participación del Estado en la economía e","Algo mejor","Mejorará algo","Algo mejor","Algo mejor","Son individualistas","Son rebeldes",NA,"Programa de educación en salud sexual y reproductiva","Programa de prevención del pandillaje y la violencia juvenil","Ingresar a las fuerzas armadas o policiales","Regular","Bien","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","En desacuerdo","En desacuerdo","Sí","Serán iguales que los adultos de hoy","Poco","Sí","Sí","En desacuerdo","En desacuerdo","De acuerdo","Es muy difícil confiar en los demás","Muy satisfecho","Ser de utilidad a la sociedad","La violencia","En desacuerdo","En desacuerdo","En desacuerdo","En desacuerdo","Violaciones, abusos o acosos sexuales","Asaltos con armas","Corrupción","Agresión sexual","Ninguna frecuencia","Ninguna frecuencia","Regular frecuencia","Mucha frecuencia","Mucha frecuencia","Poca frecuencia","Poca frecuencia","Mucha frecuencia","Sí","Sí","No","No","No llevar mucho dinero consigo","No salir de noche sin compañía","Evitar caminar por zonas apartadas o por lugares que conside","Instalar una alarma en su domicilio",NA,NA,NA,NA,NA,NA,"El consumo de drogas","La poca eficacia de la Policía","La ineficacia del sistema penitenciario","Sí","Robo al paso (de bolso, cartera, celular)","Mucho","Ha aumentado mucho","Bastante eficaz","Poco eficaz","Muy eficaz","Muy eficaz","Bastante eficaz","Muy eficaz","Muy eficaz","El propio consumidor","Bueno","Bueno","Bueno","Bueno","Malo","Bueno","Bueno","Bueno","Bueno","Malo","Bueno","Malo","En la resolución de secuestros","Nunca aparecen cuando se les necesita","No",NA,"No",NA,NA,"No",NA,"No se cumplirá","Se cumplirá","Se cumplirá","No se cumplirá","Se cumplirá",NA,NA,"No se cumplirá","Se cumplirá","El Gobierno debe dar muestras de estar trabajando de manera ","Fue un buen gesto y allanó el caminó para resolver el proble",10,"Secundaria completa","Ama de casa",NA,"Otra persona","Secundaria completa","Independiente / cuenta propia","No","Vendedor ambulante","Water / inodoro",2,"No","Sí","No","No","Mejores","Menos de 300","18 a 29","Casa independiente","Popular","Asfaltado en regular o mal estado","Plano","150110            ","Lima Norte","D","D/E",1.00820283487116,"150110            ",-0.616183285707356,43.8043182584681,125,3
"426",29,"Masculino",28,"Poco interesado","Aprueba","Aprueba","Aprueba","Aprueba","Desaprueba",NA,NA,"Poca","Poca","Poca","Ninguna","Alguna","Alguna","Mucha","Buena","Mejor","Satisfecho","A veces un gobierno autoritario o una dictadura puede ser pr","Promover una mayor participación del Estado en la economía e","Algo mejor","Mejorará algo","Algo mejor","Algo mejor","Son emprendedores","Son creativos","Dificultad de independizarse de su familia","Programa de empleo juvenil","Programa de prevención del pandillaje y la violencia juvenil","Iniciar un negocio","Mal","Mal","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","No","Serán mejores que los adultos de hoy","Poco","Sí","No","De acuerdo","En desacuerdo","En desacuerdo","Es muy difícil confiar en los demás","7","Ser autosuficiente, no depender de nadie","La falta de trabajo","En desacuerdo","De acuerdo","En desacuerdo","En desacuerdo","Agresiones físicas","Asaltos con armas","Venta de drogas","Robo en vivienda o local","Mucha frecuencia","Poca frecuencia","Mucha frecuencia","Mucha frecuencia","Mucha frecuencia","Poca frecuencia","Poca frecuencia","Mucha frecuencia","Sí","No","Sí","No","Evitar caminar por zonas apartadas o por lugares que conside","Tener un arma en casa",NA,NA,NA,NA,NA,NA,NA,NA,"El consumo de drogas","El desempleo",NA,"No",NA,NA,"Se mantiene igual","Poco eficaz","Bastante eficaz","Muy eficaz","Muy eficaz","Poco eficaz","Muy eficaz","Muy eficaz","El propio consumidor","Malo","Bueno","Bueno","Bueno","Malo","Malo","Malo","Bueno","Bueno","Malo","Bueno","Bueno","En la resolución de secuestros","Nunca aparecen cuando se les necesita","No",NA,"No",NA,NA,"No",NA,"No se cumplirá","No se cumplirá","Se cumplirá","Se cumplirá","Se cumplirá","Se cumplirá","No se cumplirá","Se cumplirá","No se cumplirá","Todos los peruanos debemos ser pacientes y confiar en el tra","Un Presidente no debe pedir disculpas porque le resta autori",4,"Secundaria completa","Independiente / cuenta propia","Pequeño comerciante con puesto / Microempresario (menos de 5","El propio entrevistado",NA,NA,"Sí",NA,"Water / inodoro",2,"No","Sí","Sí","Sí","Mejores","Entre 1001 y 1500","18 a 29","Vivienda en quinta","Medio","Asfaltado en regular o mal estado","Plano","150101            ","Lima Antigüa","C","C",0.739960960664607,"150101            ",-1.53627215142382,24.2547003308507,30,4
"427",501,"Masculino",18,"Algo interesado",NA,"Aprueba","Aprueba","Aprueba","Desaprueba","Desaprueba","Desaprueba","Poca","Ninguna","Alguna","Ninguna","Alguna","Ninguna","Poca","Regular","Igual","Insatisfecho","A veces un gobierno autoritario o una dictadura puede ser pr",NA,"Permanece igual","Mejorará algo","Algo mejor","Algo mejor","Son rebeldes",NA,"Bajo nivel educativo","Programa de prevención del pandillaje y la violencia juvenil",NA,"Estudiar una carrera técnica","Muy mal","Bien","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Sí","Serán mejores que los adultos de hoy","Algo","Sí","No","De acuerdo","De acuerdo","De acuerdo","Es muy difícil confiar en los demás","7","Ser de utilidad a la sociedad","La violencia","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","Violaciones, abusos o acosos sexuales","Asaltos con armas","Venta de drogas","Robo en vivienda o local","Poca frecuencia","Ninguna frecuencia","Mucha frecuencia","Regular frecuencia","Poca frecuencia","Regular frecuencia","Poca frecuencia","Mucha frecuencia","Sí","No","No","No","Evitar caminar por zonas apartadas o por lugares que conside","Instalar una alarma en su domicilio",NA,NA,NA,NA,NA,NA,NA,NA,"El consumo de drogas","El desempleo","El mal funcionamiento de la justicia","No",NA,NA,"Ha aumentado algo","Muy eficaz","Muy eficaz","Muy eficaz","Bastante eficaz","Poco eficaz","Muy eficaz","Bastante eficaz","El propio consumidor","Bueno","Malo","Malo","Malo","Malo","Malo","Malo","Bueno","Bueno","Bueno","Bueno","Bueno","En la lucha contra las drogas","Su presencia evitará que se cometan delitos","No",NA,"Sí","Otro","Se resolvió satisfactoriamente","Sí, una parte","No","Se cumplirá","Se cumplirá","Se cumplirá","Se cumplirá","No se cumplirá","No se cumplirá","Se cumplirá","Se cumplirá","Se cumplirá","Los peruanos deben conocer más los logros y avances del Gobi","Fue un buen gesto y allanó el caminó para resolver el proble",8,"Secundaria completa","Estudiante",NA,"Otra persona","Secundaria completa","Asalariado sector público","No",NA,"Water / inodoro",2,"No","Sí","Sí","Sí","Iguales","Entre 1001 y 1500","18 a 29","Casa independiente","Medio","Asfaltado en regular o mal estado","Inclinado","150132            ","Lima Este","C","C",1.0076794965675,"150132            ",-0.536134760581991,45.5051518846326,140,3
"428",550,"Femenino",28,"Poco interesado","Desaprueba","Desaprueba","Aprueba","Aprueba","Desaprueba",NA,"Desaprueba","Ninguna","Ninguna","Poca","Ninguna","Poca","Poca","Poca","Regular","Mejor","Insatisfecho","La democracia es preferible a cualquier otra forma de gobier","Promover la economía privada de mercado es la única forma en","Permanece igual","Mejorará algo","Permanece igual","Algo mejor","Son emprendedores","Son rebeldes","Bajo nivel educativo","Programa de educación en salud sexual y reproductiva","Programa de prevención del pandillaje y la violencia juvenil","Estudiar una carrera técnica","Regular","Bien","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Sí","Serán iguales que los adultos de hoy","Poco","Sí","No","En desacuerdo","En desacuerdo","En desacuerdo","Es muy difícil confiar en los demás","5","Poder trabajar en lo que me gusta","La violencia","En desacuerdo","En desacuerdo","En desacuerdo","En desacuerdo","Violaciones, abusos o acosos sexuales","Corrupción",NA,"Agresión sexual","Ninguna frecuencia","Poca frecuencia","Mucha frecuencia","Mucha frecuencia","Poca frecuencia","Regular frecuencia","Poca frecuencia","Mucha frecuencia","No","No","No","No","No llevar mucho dinero consigo","Evitar caminar por zonas apartadas o por lugares que conside","No llevar joyas u objetos valiosos a la vista","Instalar rejas en su domicilio",NA,NA,NA,NA,NA,NA,"El consumo de drogas","La ineficacia del sistema penitenciario",NA,"No",NA,NA,"Se mantiene igual","Nada eficaz","Muy eficaz","Muy eficaz","Muy eficaz","Nada eficaz","Bastante eficaz","Muy eficaz","La familia","Malo","Malo","Malo","Malo","Muy malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","En la protección de funcionarios","No actúan cuando deberían","No",NA,"No",NA,NA,"No",NA,"No se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","Se cumplirá","No se cumplirá","El Gobierno debe dar muestras de estar trabajando de manera ","Fue un buen gesto y allanó el caminó para resolver el proble",11,"Superior técnica completa","Asalariado sector público",NA,"Otra persona","Superior técnica incompleta","Asalariado sector público","Sí",NA,"Water / inodoro",2,"No","Sí","Sí","No","Iguales","Entre 300 y 600","18 a 29","Casa independiente","Popular","Asfaltado en regular o mal estado","Plano","150137            ","Lima Este","C","C",1.0076794965675,"150137            ",-0.804589311854002,39.8011551253511,102,3
"429",275,"Femenino",60,"Poco interesado","Desaprueba","Desaprueba","Aprueba",NA,"Desaprueba","Desaprueba","Desaprueba","Alguna",NA,"Mucha","Ninguna","Poca",NA,NA,"Regular",NA,"Insatisfecho",NA,NA,NA,NA,"Permanece igual","Algo peor","Son rebeldes","Son pesimistas con su futuro","Falta de oportunidades de trabajo","Programa de educación en salud sexual y reproductiva","Programa de control y rehabilitación del uso de drogas","Estudiar una carrera técnica",NA,NA,"De acuerdo","De acuerdo",NA,NA,NA,NA,"Sí",NA,"Nada","Sí","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asaltos con armas",NA,NA,"Actos de vandalismo","Poca frecuencia","Poca frecuencia","Poca frecuencia","Regular frecuencia","Mucha frecuencia","Mucha frecuencia","Poca frecuencia","Mucha frecuencia",NA,NA,NA,NA,"No llevar mucho dinero consigo","Evitar caminar por zonas apartadas o por lugares que conside",NA,NA,NA,NA,NA,NA,NA,NA,"La pobreza y las desigualdades sociales","La lejanía de las comisarías",NA,"Sí","Robo en vivienda o local","Nada","Ha aumentado algo","Muy eficaz","Muy eficaz","Muy eficaz","Muy eficaz","Muy eficaz","Muy eficaz","Muy eficaz","La familia","Bueno",NA,NA,NA,NA,NA,NA,"Muy malo","Muy malo","Muy malo","Muy malo","Muy malo","En la protección de funcionarios","Su presencia evitará que se cometan delitos","No",NA,"No",NA,NA,"No",NA,"No se cumplirá","Se cumplirá","Se cumplirá","Se cumplirá","Se cumplirá","Se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","El Gobierno debe dar muestras de estar trabajando de manera ","Fue un buen gesto y allanó el caminó para resolver el proble",8,"Inicial o primaria incompleta","Independiente / cuenta propia","Pequeño comerciante con puesto / Microempresario (menos de 5","El propio entrevistado",NA,NA,"Sí",NA,"Water / inodoro",1,"No","No","Sí","No","Iguales","Menos de 300","45 o más","Casa independiente","Popular","Asfaltado en regular o mal estado","Muy inclinado","150110            ","Lima Norte","D","D/E",1.00820283487116,"150110            ",-0.918743924860537,37.3756512940282,91,3
"430",242,"Femenino",32,"Algo interesado","Aprueba","Aprueba","Desaprueba","Desaprueba","Desaprueba","Desaprueba","Desaprueba","Alguna","Alguna","Ninguna","Ninguna","Ninguna","Alguna","Alguna","Regular","Mejor","Satisfecho","La democracia es preferible a cualquier otra forma de gobier","Promover la economía privada de mercado es la única forma en","Permanece igual","Permanecerá igual","Permanece igual","Algo mejor","Son trabajadores","Son creativos","Falta de oportunidades de trabajo","Programa de educación en salud sexual y reproductiva","Programa de prevención del pandillaje y la violencia juvenil","Estudiar una carrera técnica","Muy mal","Bien","En desacuerdo","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","Sí","Serán iguales que los adultos de hoy","Algo","Sí","Sí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Violaciones, abusos o acosos sexuales","Hurto sin violencia","Venta de drogas","Agresión sexual","Mucha frecuencia","Mucha frecuencia","Poca frecuencia","Regular frecuencia","Mucha frecuencia","Mucha frecuencia","Poca frecuencia","Mucha frecuencia","No","No","No","No","No llevar mucho dinero consigo","No salir de noche sin compañía","Evitar caminar por zonas apartadas o por lugares que conside","No llevar joyas u objetos valiosos a la vista","Evitar los estacionamientos oscuros y mal vigilados",NA,NA,NA,NA,NA,"El consumo de drogas","El bajo nivel educativo","Las carencias afectivas en el hogar","No",NA,NA,"Ha aumentado algo","Bastante eficaz","Muy eficaz","Muy eficaz","Muy eficaz","Nada eficaz","Muy eficaz","Muy eficaz","La familia","Malo","Bueno","Bueno","Bueno","Malo","Bueno","Malo","Bueno","Bueno","Malo","Malo","Bueno","En la resolución de secuestros","Nunca aparecen cuando se les necesita","No",NA,"No",NA,NA,"Sí, una parte","Sí","Se cumplirá","Se cumplirá","Se cumplirá","Se cumplirá","Se cumplirá","Se cumplirá","No se cumplirá","Se cumplirá","No se cumplirá","Todos los peruanos debemos ser pacientes y confiar en el tra","Fue un buen gesto y allanó el caminó para resolver el proble",5,"Superior técnica incompleta","Actualmente no trabaja",NA,"Otra persona",NA,"Asalariado sector público","No","Profesional independiente o profesor universitario","Letrina / silo",0,"No","Sí","Sí","Sí","Mejores","Entre 1001 y 1500","30 a 44","Casa independiente","Popular","No tiene pistas","Plano","150110            ","Lima Norte","C","C",1.00820283487116,"150110            ",-1.69094940630804,20.9681903558339,23,4
"431",123,"Masculino",43,"Nada interesado","Aprueba","Desaprueba","Desaprueba","Desaprueba","Desaprueba","Desaprueba","Desaprueba","Alguna","Alguna","Mucha","Alguna","Alguna","Alguna","Alguna","Buena","Igual","Insatisfecho","A veces un gobierno autoritario o una dictadura puede ser pr","Promover una mayor participación del Estado en la economía e","Algo mejor","Mejorará algo","Algo mejor","Algo mejor","Son trabajadores","No tienen interés en cambiar su realidad","Bajo nivel educativo","Programa de prevención del pandillaje y la violencia juvenil","Programa para incentivar las cualidades artísticas y deporti","Estudiar una carrera técnica","Bien","Bien","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Sí","Serán iguales que los adultos de hoy","Poco","Sí","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amenazas e intimidaciones","Violencia callejera","Venta de drogas","Robo al paso (de bolso, cartera, celular)","Mucha frecuencia","Mucha frecuencia","Poca frecuencia","Mucha frecuencia","Mucha frecuencia","Mucha frecuencia","Poca frecuencia","Mucha frecuencia","No","No","No","No","Evitar caminar por zonas apartadas o por lugares que conside",NA,NA,NA,NA,NA,NA,NA,NA,NA,"El consumo de drogas","La pobreza y las desigualdades sociales","El desempleo","No",NA,NA,"Ha aumentado algo","Nada eficaz","Nada eficaz","Nada eficaz","Bastante eficaz","Nada eficaz","Bastante eficaz","Bastante eficaz","La policía","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Bueno","Malo","Malo","Malo","En la resolución de secuestros","Nunca aparecen cuando se les necesita","No",NA,"No",NA,NA,"Sí, una parte","Sí","No se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","El Gobierno debe dar muestras de estar trabajando de manera ","Un Presidente no debe pedir disculpas porque le resta autori",3,"Primaria completa","Asalariado sector público","Empleado poco especializado (vigilante, mensajero)","Otra persona","Primaria completa","Retirado / jubilado","No",NA,"Water / inodoro",1,"No","Sí","Sí","No","Iguales",NA,"30 a 44","Casa independiente","Medio","Asfaltado en buen estado","Plano","150116            ","Lima Moderna","D","D/E",1.31613699793188,"150116            ",-1.91333614888311,16.2430208515549,16,4
"432",905,"Femenino",56,"Algo interesado","Desaprueba","Desaprueba","Aprueba","Desaprueba",NA,NA,NA,"Ninguna","Alguna","Ninguna","Poca","Mucha","Ninguna","Mucha","Mala","Peor","Satisfecho","A veces un gobierno autoritario o una dictadura puede ser pr","Promover una mayor participación del Estado en la economía e","Algo peor","Empeorará mucho","Algo peor","Mucho peor","Son individualistas","Son rebeldes","Falta de oportunidades de trabajo","Programa de empleo juvenil","Programa de prevención del pandillaje y la violencia juvenil","Estudiar una carrera universitaria","Mal","Bien","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Sí","Serán mejores que los adultos de hoy","Nada","Sí","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Violaciones, abusos o acosos sexuales","Secuestro","Corrupción",NA,NA,"Mucha frecuencia","Poca frecuencia","Mucha frecuencia","Mucha frecuencia","Mucha frecuencia","Poca frecuencia","Mucha frecuencia","No","No","Sí","No","No llevar mucho dinero consigo","No salir de noche sin compañía","Evitar caminar por zonas apartadas o por lugares que conside","No llevar joyas u objetos valiosos a la vista",NA,NA,NA,NA,NA,NA,"El consumo de drogas","El desempleo","La poca eficacia de la Policía","No",NA,NA,"Ha aumentado mucho","Bastante eficaz","Bastante eficaz","Muy eficaz","Bastante eficaz",NA,"Bastante eficaz","Bastante eficaz","Las autoridades del Estado",NA,"Muy malo","Malo",NA,"Malo","Muy malo","Muy malo","Malo","Malo","Malo","Muy malo","Muy malo",NA,"Nunca aparecen cuando se les necesita","No",NA,"No",NA,NA,"No",NA,"No se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","Se cumplirá","Se cumplirá","Se cumplirá","El Gobierno debe dar muestras de estar trabajando de manera ","Un Presidente no debe pedir disculpas porque le resta autori",5,"Primaria completa","Independiente / cuenta propia","Vendedor ambulante","El entrevistado y otra persona en partes iguales",NA,NA,"Sí",NA,"Water / inodoro",2,"No","Sí","No","No","Peores","Entre 300 y 600","45 o más","Casa independiente","Popular","Asfaltado en regular o mal estado","Plano","150143            ","Lima Sur","D","D/E",0.974422570166749,"150143            ",-1.5733012168563,23.4679240656495,27,4
"433",643,"Femenino",38,"Poco interesado","Desaprueba","Desaprueba","Aprueba","Aprueba","Desaprueba","Aprueba","Desaprueba","Ninguna","Ninguna","Mucha","Ninguna",NA,"Poca","Ninguna","Mala","Peor","Insatisfecho","La democracia es preferible a cualquier otra forma de gobier","Promover una mayor participación del Estado en la economía e","Mucho peor","Permanecerá igual","Mucho peor","Mucho peor","Son rebeldes","No tienen interés en cambiar su realidad","Bajo nivel educativo","Programa de empleo juvenil","Programa de prevención del pandillaje y la violencia juvenil","Estudiar una carrera técnica","Muy mal","Regular","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Sí","Serán peores que los adultos de hoy","Nada","Sí","Sí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Violaciones, abusos o acosos sexuales","Asaltos con armas","Protestas o huelgas","Robo al paso (de bolso, cartera, celular)","Poca frecuencia","Ninguna frecuencia","Regular frecuencia","Mucha frecuencia","Mucha frecuencia","Mucha frecuencia","Poca frecuencia","Mucha frecuencia","Sí","Sí","No","Sí","No llevar mucho dinero consigo","No salir de noche sin compañía","No llevar joyas u objetos valiosos a la vista",NA,NA,NA,NA,NA,NA,NA,"El consumo de drogas","El desempleo","La pobreza y las desigualdades sociales","No",NA,NA,"Ha aumentado mucho","Nada eficaz","Bastante eficaz","Bastante eficaz","Bastante eficaz","Nada eficaz","Bastante eficaz","Bastante eficaz","La familia","Malo","Bueno","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","En la resolución de secuestros","Nunca aparecen cuando se les necesita","No",NA,"No",NA,NA,"No",NA,"No se cumplirá","No se cumplirá","Se cumplirá","Se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","El Gobierno debe dar muestras de estar trabajando de manera ","Las disculpas dadas no lo favorecen ni lo perjudican",4,"Secundaria completa","Independiente / cuenta propia","Pequeño comerciante con puesto / Microempresario (menos de 5","Otra persona","Superior técnica completa","Asalariado sector público","No",NA,"Water / inodoro",1,"No","Sí","Sí","Sí","Peores","Entre 1001 y 1500","30 a 44","Casa independiente","Medio","Tierra afirmada","Plano","150142            ","Lima Sur","C","C",0.974422570166749,"150142            ",-1.11899658569117,33.1207764073734,65.5,3
"434",532,"Masculino",29,"Nada interesado","Aprueba","Aprueba","Aprueba","Aprueba","Aprueba","Desaprueba","Aprueba","Mucha","Mucha","Mucha","Mucha","Mucha","Poca","Mucha","Buena","Mejor","Satisfecho","Me da lo mismo un tipo de gobierno u otro","Promover una mayor participación del Estado en la economía e","Algo mejor","Mejorará algo","Permanece igual","Algo mejor","Son emprendedores","Son creativos","Inestabilidad laboral","Programa de empleo juvenil","Programa para incentivar las cualidades artísticas y deporti","Estudiar una carrera técnica","Regular","Muy bien","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","En desacuerdo","No","Serán mejores que los adultos de hoy","Algo","Sí","No","De acuerdo","En desacuerdo","En desacuerdo","Es muy difícil confiar en los demás","5","Ser exitoso en mi trabajo","El SIDA","En desacuerdo","De acuerdo","En desacuerdo","En desacuerdo","Violaciones, abusos o acosos sexuales","Agresiones físicas","Corrupción","Fraude o estafa","Mucha frecuencia","Mucha frecuencia","Mucha frecuencia","Mucha frecuencia","Mucha frecuencia","Mucha frecuencia","Poca frecuencia","Mucha frecuencia","No","No","No","Sí","No llevar mucho dinero consigo","Evitar caminar por zonas apartadas o por lugares que conside","Instalar una alarma en su domicilio","Tener un arma en casa",NA,NA,NA,NA,NA,NA,"El consumo de drogas","La pobreza y las desigualdades sociales","El desempleo","No",NA,NA,"Ha aumentado mucho","Muy eficaz","Muy eficaz","Muy eficaz","Muy eficaz","Nada eficaz","Muy eficaz","Muy eficaz","La familia","Malo","Malo","Malo","Malo","Muy malo","Bueno","Malo","Bueno","Bueno","Malo","Malo","Malo","En la resolución de secuestros","Nunca aparecen cuando se les necesita","No",NA,"Sí","Faltas de tránsito","Se resolvió de manera alternativa (coima)","No",NA,"No se cumplirá","Se cumplirá","Se cumplirá","Se cumplirá","Se cumplirá","Se cumplirá","No se cumplirá","Se cumplirá","No se cumplirá","El Gobierno debe dar muestras de estar trabajando de manera ","Fue un buen gesto y allanó el caminó para resolver el proble",4,"Superior técnica completa","Asalariado sector público","Empleado no profesional de rango medio (cajero, vendedor)","El entrevistado y otra persona en partes iguales",NA,NA,"No",NA,"Water / inodoro",2,"No","Sí","Sí","Sí","Iguales","Entre 3001 y 5000","18 a 29","Casa independiente","Medio","Asfaltado en regular o mal estado","Plano","150132            ","Lima Este","C","C",1.0076794965675,"150132            ",-2.30123853481492,8.00105236270357,5,4
